permno,date,ticker,prc,ret,shrout,vol
84788,09-01-2019,AMZN,1659.42004,0.001714,488969,6349112
84788,10-01-2019,AMZN,1656.21997,-0.001928,488969,6507925
84788,11-01-2019,AMZN,1640.56006,-0.009455,488969,4687325
84788,14-01-2019,AMZN,1617.20996,-0.014233,488969,6006079
84788,15-01-2019,AMZN,1674.56006,0.035462,488969,5998410
84788,16-01-2019,AMZN,1683.78003,0.005506,488969,6366864
84788,17-01-2019,AMZN,1693.21997,0.005606,488969,4208930
84788,18-01-2019,AMZN,1696.19995,0.00176,488969,6007010
84788,22-01-2019,AMZN,1632.17004,-0.037749,488969,6416717
84788,23-01-2019,AMZN,1640.02002,0.00481,491203,5226122
84788,24-01-2019,AMZN,1654.93005,0.009091,491203,4089943
84788,25-01-2019,AMZN,1670.56995,0.00945,491203,4962346
84788,28-01-2019,AMZN,1637.89001,-0.019562,491203,4837736
84788,29-01-2019,AMZN,1593.88,-0.02687,491203,4632597
